FIPS,CLG,CLC,DIV,CLH,RSI,FSI,FSG,FSV,FSP,FSC,MSI,MSH,MSD,MSS,MSM,ESA,ESI,GPS,GPT,GPE,RFS,FIndex,EIndex,MIndex,GIndex,SIIndex
12103027204,0.0904,0.1979,0.2949,0.3977714758952995,0.2093,0.1262,0.7189,0.3094,0.4915,0.9909815558270787,0.1834,0.2546,0.22281193671139596,0.3725,0.2804,0.41968393678735744,0.8435,1.3302,0.7407,1.4195034040849017,0.5962222556240292,0.43949692597117984,0.6315919683936787,0.26274238734227917,0.38782260045387795,0.3406
12103027205,0.4037,0.5847,0.3211,0.7564433959896605,0.1976,0.3532,0.6306,0.368,0.3872,0.9910979228486647,0.3176,0.2551,0.22281193671139596,0.5763,0.3973,0.7898579715943188,0.6571,1.8296999999999999,1.8252000000000002,1.891970364437325,0.8004409038528983,0.45501632047477747,0.7234789857971594,0.3538223873422792,0.616318929381925,0.381375
12103027206,0.0904,0.1131,0.195,0.3356839912665947,0.2703,0.0916,0.6061,0.4861,0.6942,1.2859137720370049,0.4237,0.6776,0.15722010815141196,0.1073,0.0972,0.2643528705741148,0.6285,0.0,0.8111999999999999,1.5847016419703643,0.2648429280024049,0.5273189620061675,0.4464264352870574,0.2926040216302824,0.2662112935522627,0.353525
12103027207,0.2463,0.0963,0.3929,0.532787913770171,0.326,0.2056,0.4513,0.4335,0.4915,1.2049805085238845,0.6947,0.5683,0.09613458842379331,0.3725,0.2115,0.5399079815963193,0.0,0.5732999999999999,0.39,1.9760712855426514,0.46946239791572725,0.4644800847539807,0.2699539907981596,0.38862691768475865,0.326596809504739,0.30657500000000004
12103027208,0.4261,0.4948,0.2243,0.6558586593720982,0.1615,0.2876,0.7446,0.6236,0.4497,1.294874032699133,0.4076,0.692,0.1177648708191468,0.1073,0.0828,0.43408681736347265,0.5362,1.1319000000000001,0.8826,0.0,0.22536199208377172,0.5667290054498556,0.48514340868173633,0.28149297416382935,0.22383333333333333,0.348225
12103027209,0.6273,0.0,0.2707,0.5358998167992571,0.1697,0.207,0.9417,0.0257,0.515,0.9433874439983709,0.139,0.2066,0.06008411776487081,0.0,0.0252,0.9423884776955391,0.4641,0.0,2.4411,0.0,0.060123252667969335,0.43879790733306184,0.7032442388477695,0.08617682355297417,0.2712333333333333,0.24495
12103027210,0.7856,0.3118,0.3321,0.8744949431575777,0.3128,0.4309,0.8682,0.1611,0.5671,1.187350904753593,0.4443,0.5414,0.08101341878630082,0.6567,0.3658,0.5594118823764753,0.9031,1.7622,1.4604,0.0,0.7391151861315698,0.5357751507922655,0.7312559411882377,0.41784268375726014,0.35806666666666664,0.522775
12103027308,0.709,0.913,0.4767,1.4081863126458705,0.7069,0.7593,0.5586,0.7722,0.502,1.4449874905451794,0.6507,0.841,0.34568395754055675,0.1073,0.2009,0.41628325665133026,0.6869,0.6927,1.9161000000000001,2.8059671605927115,0.4534295305376021,0.6728479150908632,0.5515916283256651,0.4291167915081113,0.6016407956214125,0.70095
12103027309,0.2776,0.7588,0.0524,0.6734760458754737,0.253,0.2996,0.8812,0.169,0.3872,0.8910804677954269,0.0941,0.1581,0.17714800721009413,0.4016,0.2703,0.0,0.4734,0.9708,1.9398,2.276131357629155,0.5796883611403377,0.4380134112992378,0.2367,0.22024960144201883,0.5763034841810172,0.28002499999999997
12103027310,0.2396,0.6325,0.066,0.5196376138730645,0.0972,0.1972,0.7684,0.5982,0.3236,1.1399895269680573,0.2691,0.455,0.2492489485279391,0.4602,0.3507,0.29365873174634927,0.0,0.0,0.5337000000000001,1.5847016419703643,0.7105566411142842,0.5045649211613429,0.14682936587317463,0.35684978970558784,0.23537796021892937,0.140875
12103027314,0.1324,0.5683,0.3276,0.6830125229000928,0.3325,0.3078,0.8481,0.2211,0.8693,1.2458835166113926,0.2028,0.6262,0.39995994392149004,0.2271,0.2998,0.8789757951590318,0.3708,0.7785,2.4042,2.461453744493392,0.6277869632747131,0.5820305861018987,0.6248878975795159,0.351171988784298,0.6271281938325991,0.30347500000000005
12103027315,0.1584,0.46,0.4565,0.6418049037568699,0.2038,0.278,0.964,0.1191,0.9863,1.4702391342293595,0.4575,0.8609,0.20648908471860603,0.3231,0.2432,0.7579515903180636,0.0,1.2243,2.5845000000000002,2.707148578293953,0.5303872939526029,0.6362731890382266,0.3789757951590318,0.4182378169437212,0.7239942864771058,0.234825
12103027316,0.2463,0.5955,0.2495,0.6115893291841292,0.1272,0.2578,0.9217,0.1282,0.7987,1.1036248327224065,0.0482,0.4004,0.091628279591428,0.3725,0.2084,0.6045209041808361,0.4641,0.6252,1.4870999999999999,0.0,0.4649531539656296,0.5350041387870678,0.534310452090418,0.22422565591828558,0.2347,0.224325
12103027317,0.1093,0.4816,0.2915,0.5967325018194595,0.3065,0.2491,0.2844,0.4861,0.6149,0.971839180776168,0.2849,0.2313,0.19637492489485278,0.343,0.2499,0.6204240848169633,0.5362,1.1319000000000001,1.1112,2.5197236684020825,0.5402074252217045,0.43438986346269465,0.5783120424084817,0.26109498497897055,0.5292026298224537,0.344175
12103027318,0.1048,0.0723,0.3259,0.31344894220393005,0.1215,0.0808,0.7684,0.2242,0.6212,1.0766858672252284,0.2367,0.3632,0.29641498097336266,0.1073,0.1731,0.5486097219443888,0.8044,1.1319000000000001,0.39,2.198938726471766,0.40412846334986724,0.4618809778708714,0.6765048609721944,0.23534299619467253,0.41342652516352957,0.31084999999999996
12103027319,0.2173,0.6851,0.4068,0.8172258890255226,0.319,0.3917,0.5454,0.5634,0.509,1.152440798277768,0.3629,0.4795,0.3709192870018025,0.1805,0.2547,0.4316863372674535,0.8354,0.0,0.6975,0.0,0.5520316649130718,0.5269901330462946,0.6335431686337267,0.32970385740036046,0.0775,0.47724999999999995
12103027320,0.2867,0.4948,0.3254,0.7689412000903456,0.4251,0.3645,0.2561,0.4109,0.3872,0.7438180019782394,0.2242,0.0694,0.2607650710995394,0.3231,0.2736,0.21084216843368672,0.633,2.0661,1.2519,0.0,0.5846986321960018,0.36041966699637323,0.4219210842168434,0.23021301421990786,0.3686666666666667,0.4117
12103027321,0.1093,0.5366,0.1835,0.42723417070293873,0.0218,0.1421,0.4842,0.7189,0.1787,0.803979752138244,0.0,0.0973,0.13969557380332467,0.2902,0.1853,0.0,0.0,0.0,0.2409,0.0,0.43058269452377373,0.3879799586897074,0.0,0.14249911476066496,0.026766666666666668,0.040975
12103027322,0.2672,0.2998,0.3417,0.5371546164077596,0.1615,0.2082,0.6788,0.4462,0.4566,1.1920055856170364,0.4671,0.5489,0.06519126777488485,0.0,0.0264,0.7869573914782957,0.0,1.0290000000000001,1.9161000000000001,0.0,0.06523372914474673,0.4969675976028394,0.39347869573914784,0.22151825355497698,0.3272333333333333,0.2092
12103027323,0.1521,0.0723,0.2118,0.23750846989735738,0.037,0.0462,0.3735,0.6416,0.0526,1.0627218246348986,0.7588,0.3435,0.2159022631684358,0.2674,0.2192,0.9046809361872374,0.0,2.5932,0.9432,0.0,0.48399218397715316,0.3627703041058164,0.4523404680936187,0.3609604526336872,0.39293333333333336,0.21050000000000002
12103027324,0.1644,0.5179,0.1052,0.5127111200341306,0.234,0.1926,0.778,0.2163,0.5482,0.9255251061849072,0.0482,0.1874,0.11446024434207891,0.0,0.0394,0.4422884576915383,0.0,0.7785,0.6267,1.5847016419703643,0.11453479633248159,0.4434375176974846,0.22114422884576915,0.07789204886841579,0.33221129355226275,0.1187
12103027325,0.142,0.7288,0.0538,0.5556252666449167,0.1824,0.2222,0.8262,0.2475,0.4341,0.877290975737476,0.0,0.1453,0.20839174844782696,0.248,0.2031,0.3764752950590118,0.0,0.0,0.8826,0.0,0.45703692569768023,0.434548495956246,0.1882376475295059,0.1609583496895654,0.09806666666666668,0.10115
12103027326,0.3631,0.6046,0.304,0.7841995633297362,0.2907,0.3732,0.746,0.2871,0.502,1.268051434223541,0.6443,0.6558,0.393951532145003,0.4275,0.4097,0.863872774554911,0.0,1.5123,1.2792,0.0,0.8225863019189338,0.5293919057039235,0.4319363872774555,0.5062503064290006,0.3101666666666667,0.32704999999999995
12103027327,0.3074,0.3483,0.3634,0.6266971164704996,0.2295,0.2683,0.3418,0.6416,0.2609,1.189038226566591,0.7993,0.5443,0.3564990987382335,0.4602,0.4071,0.6866373274654931,0.0,0.5732999999999999,0.45420000000000005,2.5587705246295553,0.8178766471266096,0.45027303776109856,0.34331866373274655,0.5134798197476467,0.3984745027366172,0.324275
12103027401,0.4314,0.7939,0.5235,1.1266594724822445,0.4959,0.5917,0.6995,0.3447,0.8845,1.3382207482399489,0.3713,0.743,0.2768876426997797,0.0,0.1039,0.4270854170834167,0.9193,0.5732999999999999,2.0250000000000004,0.0,0.2770679893782254,0.6431034580399915,0.6731927085417083,0.299017528539956,0.2887,0.59455
12103027402,0.5713,0.8093,0.5699,1.3487590031871908,0.7367,0.7218,0.8017,0.4861,0.9584,1.7805317972886485,0.814,0.9897,0.5168235529741638,0.644,0.609,0.645629125825165,0.852,0.9708,2.7678,2.110332398878654,1.162483090335187,0.7914219662147747,0.7488145629125824,0.7147047105948328,0.6498813776531838,0.781125
12103027403,0.3583,0.1059,0.4078,0.737320249956082,0.597,0.3424,0.7376,0.368,0.6286,1.2977250247279921,0.4962,0.6952,0.2564590426597236,0.4717,0.361,0.6643328665733147,0.7734,1.6850999999999998,1.407,2.198938726471766,0.729295054862468,0.562387504121332,0.7188664332866573,0.4561118085319447,0.5878931918301962,0.55225
12103027501,0.4037,0.2119,0.2195,0.5485481968529625,0.2578,0.2181,0.7636,0.3094,0.6363,1.2146389713155292,0.3783,0.5828,0.057480472661726414,0.4275,0.2199,0.3764752950590118,0.6099,1.6850999999999998,1.1811,2.497496996395675,0.4858960869783055,0.5236731618859215,0.4931876475295059,0.3331960945323453,0.5959663329328527,0.36602500000000004
12103027502,0.5532,0.6935,0.4054,1.0372675483725249,0.4145,0.5326,0.892,0.3048,0.9373,1.6247745388956771,0.6584,0.9498,0.08481874624474263,0.3725,0.2036,0.7257451490298059,0.5362,1.3734,1.5303,1.891970364437325,0.45813918532992637,0.7152457564826128,0.630972574514903,0.45382374924894864,0.5328522627152582,0.535425
12103027603,0.5364,0.1297,0.092,0.426882826812558,0.0924,0.1409,0.814,0.1407,0.4566,1.0228079362308722,0.3466,0.2923,0.017824954936911674,0.1555,0.0619,0.6412282456491298,0.6176,1.5123,1.8828,0.0,0.17365599478931812,0.42916798937181205,0.6294141228245649,0.17482499098738233,0.37723333333333336,0.29937500000000006
12103027604,0.1226,0.877,0.0245,0.5458378296985971,0.0634,0.2162,0.969,0.0185,0.6433,0.9488566940129168,0.0,0.2116,0.1405968355697977,0.3068,0.198,0.9893978795759152,0.3708,1.2804,0.8459999999999999,0.0,0.4481186432185981,0.4659761156688195,0.6800989397879575,0.17139936711395953,0.23626666666666665,0.16260000000000002
12103027605,0.2672,0.8448,0.0519,0.6388937686651441,0.109,0.2763,0.8608,0.2072,0.3618,0.8776982603130273,0.0787,0.1458,0.1132585619867815,0.1555,0.0999,0.7327465493098619,0.5751,0.6927,0.4284,0.0,0.26915176111027606,0.43063304338550457,0.6539232746549309,0.1186317123973563,0.12456666666666666,0.259775
12103027606,0.2867,0.5955,0.0492,0.6162571837277586,0.2964,0.2602,0.8077,0.0394,0.4797,0.9469948216675395,0.3008,0.2102,0.03144402163028239,0.1073,0.0485,0.8035607121424285,0.3578,0.0,0.0,0.0,0.13898491908412244,0.4223324702779232,0.5806803560712143,0.13964880432605647,0.0,0.30379999999999996
12103027701,0.1093,0.361,0.0759,0.3455718121815946,0.1423,0.0974,0.8817,0.0754,0.6623,0.9902833536975622,0.0826,0.2534,0.06278790306429001,0.4275,0.2228,0.8839767953590718,0.0,0.6252,1.3542,0.0,0.49120697429730953,0.4511805589495937,0.4419883976795359,0.20981758061285802,0.21993333333333334,0.08057500000000001
12103027703,0.1377,0.0673,0.0168,0.13351067834466837,0.0442,0.0144,0.8903,0.0343,0.1127,0.6315820096584628,0.0482,0.0387,0.01512116963749249,0.2674,0.1092,0.9504900980196039,0.0,0.0,1.1811,0.0,0.28308031464502226,0.2805470016097438,0.47524504900980197,0.0957242339274985,0.13123333333333334,0.0267
12103027704,0.3139,0.1223,0.0886,0.2898085175797425,0.0526,0.07,0.8865,0.0578,0.7067,1.0786059230813987,0.2028,0.3661,0.12357300220308431,0.1073,0.0845,0.9197839567913583,0.5362,1.0757999999999999,1.2519,0.0,0.23117390650834208,0.4666009871802331,0.7279919783956792,0.17685460044061685,0.2586333333333333,0.2154
12103027801,0.2463,0.5683,0.0901,0.49288528621979066,0.0773,0.1806,0.8987,0.1147,0.7293,1.1009483912259268,0.1495,0.3966,0.08962547566593229,0.4381,0.2427,0.8890778155631126,0.3708,0.0,2.0703,0.0,0.528683801793677,0.5040413985376545,0.6299389077815563,0.26330509513318645,0.23003333333333334,0.19455
12103027802,0.4424,0.6536,0.1239,0.7610610585489497,0.2964,0.3563,0.7566,0.0627,0.5746,0.8949787630185606,0.1443,0.1626,0.04346084518325656,0.0,0.0206,0.7401480296059212,0.5751,2.0661,0.11249999999999999,1.5847016419703643,0.043489152763164486,0.4408631271697601,0.6576240148029606,0.07419216903665131,0.418144626885596,0.343025
12103027901,0.1324,0.0,0.0713,0.14620925038271387,0.0876,0.0173,0.8125,0.1834,0.6212,0.9408855530342701,0.0,0.2042,0.08892449429200881,0.4486,0.2489,0.8532706541308261,0.3708,1.8296999999999999,2.0250000000000004,0.0,0.5385039330627787,0.429214258839045,0.6120353270654131,0.19812489885840176,0.4283,0.118925
12103027903,0.2867,0.614,0.0826,0.5509072201169473,0.1143,0.2195,0.8951,0.0679,0.6068,0.9133647524291617,0.0,0.1773,0.13028239535349487,0.5386,0.3281,0.8674734946989398,0.0,0.0,0.8459999999999999,0.0,0.6700736509845182,0.45044412540486034,0.4337367473494699,0.23485647907069898,0.09399999999999999,0.08345
12103027904,0.3074,0.7478,0.0572,0.6575149948553216,0.1976,0.289,0.8742,0.0915,0.4655,0.9585733403153547,0.2163,0.2196,0.1177648708191468,0.2674,0.1608,0.7269453890778156,0.0,0.0,1.0218,0.0,0.3857908712861366,0.4464622233858924,0.3634726945389078,0.19637297416382937,0.11353333333333333,0.175725
12103028002,0.2514,0.1412,0.056,0.28253067985042785,0.1143,0.0668,0.8157,0.1495,0.3303,0.8346424623261769,0.139,0.1155,0.1622271179651512,0.0,0.0571,0.7421484296859372,0.4143,0.0,1.1112,0.0,0.1623327822035172,0.3661570770543628,0.5782242148429686,0.09476542359303024,0.12346666666666667,0.18359999999999999
12103028003,0.5141,0.9106,0.1009,0.8440284086631364,0.156,0.4116,0.9109,0.0406,0.7411,1.071798452318613,0.1495,0.3562,0.027838974564390145,0.3725,0.1714,0.917883576715343,0.0,1.7289,2.4873,1.891970364437325,0.40112230071646876,0.5293330753864355,0.4589417883576715,0.21548779491287803,0.6786855960485916,0.179275
